num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,5.321,0.767,0.876,11.125
2,avgWaits,3.262,0.040,0.199,2.534
2,avgNumNodes,0.612,0.024,0.154,1.962
2,avgDelays,0.060,0.000,0.007,0.090
2,avgNumQueues,0.013,0.000,0.001,0.013
2,utilization_server5,0.449,0.004,0.065,0.821
2,service_server5,3.045,0.016,0.127,1.615
2,share_server5,0.810,0.000,0.015,0.196
2,utilization_server6,0.200,0.009,0.097,1.231
2,service_server6,3.651,1.147,1.071,13.611
2,share_server6,0.268,0.000,0.014,0.182
4,avgInterarrivals,5.511,0.427,0.654,1.201
4,avgWaits,3.563,0.115,0.339,0.623
4,avgNumNodes,0.606,0.013,0.115,0.210
4,avgDelays,0.054,0.000,0.015,0.027
4,avgNumQueues,0.010,0.000,0.003,0.006
4,utilization_server5,0.466,0.003,0.052,0.095
4,service_server5,3.594,0.312,0.558,1.026
4,share_server5,0.783,0.001,0.029,0.053
4,utilization_server6,0.167,0.006,0.079,0.145
4,service_server6,3.172,0.996,0.998,1.834
4,share_server6,0.282,0.000,0.018,0.032
8,avgInterarrivals,5.942,0.936,0.968,0.865
8,avgWaits,3.426,0.285,0.533,0.477
8,avgNumNodes,0.559,0.019,0.137,0.122
8,avgDelays,0.124,0.027,0.166,0.148
8,avgNumQueues,0.022,0.001,0.030,0.026
8,utilization_server5,0.415,0.005,0.070,0.062
8,service_server5,3.313,0.343,0.586,0.523
8,share_server5,0.789,0.001,0.034,0.031
8,utilization_server6,0.155,0.006,0.081,0.072
8,service_server6,3.145,0.963,0.981,0.877
8,share_server6,0.278,0.001,0.037,0.033
16,avgInterarrivals,5.975,1.135,1.066,0.586
16,avgWaits,3.286,0.350,0.591,0.325
16,avgNumNodes,0.526,0.018,0.133,0.073
16,avgDelays,0.101,0.017,0.132,0.072
16,avgNumQueues,0.018,0.001,0.023,0.013
16,utilization_server5,0.399,0.008,0.087,0.048
16,service_server5,3.318,0.557,0.746,0.411
16,share_server5,0.773,0.004,0.065,0.036
16,utilization_server6,0.140,0.005,0.073,0.040
16,service_server6,2.736,1.201,1.096,0.603
16,share_server6,0.295,0.006,0.075,0.041
32,avgInterarrivals,5.389,1.181,1.087,0.398
32,avgWaits,3.201,0.367,0.606,0.222
32,avgNumNodes,0.583,0.032,0.179,0.065
32,avgDelays,0.180,0.051,0.227,0.083
32,avgNumQueues,0.039,0.003,0.056,0.021
32,utilization_server5,0.406,0.007,0.082,0.030
32,service_server5,3.040,0.471,0.686,0.251
32,share_server5,0.766,0.006,0.075,0.028
32,utilization_server6,0.174,0.012,0.111,0.041
32,service_server6,2.857,0.880,0.938,0.344
32,share_server6,0.299,0.007,0.086,0.032
64,avgInterarrivals,5.496,1.068,1.034,0.260
64,avgWaits,3.181,0.387,0.622,0.157
64,avgNumNodes,0.569,0.027,0.163,0.041
64,avgDelays,0.160,0.043,0.208,0.052
64,avgNumQueues,0.033,0.002,0.047,0.012
64,utilization_server5,0.407,0.007,0.084,0.021
64,service_server5,3.087,0.549,0.741,0.187
64,share_server5,0.769,0.007,0.084,0.021
64,utilization_server6,0.164,0.009,0.094,0.024
64,service_server6,2.849,1.245,1.116,0.281
64,share_server6,0.296,0.008,0.089,0.022
128,avgInterarrivals,5.504,1.183,1.088,0.191
128,avgWaits,3.203,0.556,0.746,0.131
128,avgNumNodes,0.577,0.035,0.188,0.033
128,avgDelays,0.173,0.079,0.281,0.049
128,avgNumQueues,0.035,0.004,0.065,0.011
128,utilization_server5,0.406,0.009,0.093,0.016
128,service_server5,3.090,0.551,0.742,0.130
128,share_server5,0.761,0.007,0.082,0.014
128,utilization_server6,0.171,0.009,0.095,0.017
128,service_server6,2.883,1.306,1.143,0.201
128,share_server6,0.303,0.008,0.087,0.015
256,avgInterarrivals,5.493,1.154,1.074,0.132
256,avgWaits,3.167,0.642,0.801,0.099
256,avgNumNodes,0.570,0.036,0.189,0.023
256,avgDelays,0.174,0.102,0.319,0.039
256,avgNumQueues,0.035,0.004,0.066,0.008
256,utilization_server5,0.403,0.010,0.099,0.012
256,service_server5,3.044,0.621,0.788,0.097
256,share_server5,0.766,0.007,0.084,0.010
256,utilization_server6,0.169,0.009,0.096,0.012
256,service_server6,2.930,1.735,1.317,0.162
256,share_server6,0.297,0.008,0.091,0.011
512,avgInterarrivals,5.491,1.162,1.078,0.094
512,avgWaits,3.199,0.695,0.834,0.072
512,avgNumNodes,0.578,0.039,0.197,0.017
512,avgDelays,0.201,0.106,0.325,0.028
512,avgNumQueues,0.040,0.005,0.068,0.006
512,utilization_server5,0.402,0.010,0.100,0.009
512,service_server5,3.037,0.595,0.771,0.067
512,share_server5,0.763,0.007,0.081,0.007
512,utilization_server6,0.171,0.009,0.097,0.008
512,service_server6,2.912,1.702,1.305,0.113
512,share_server6,0.299,0.008,0.087,0.008
1024,avgInterarrivals,5.479,1.088,1.043,0.064
1024,avgWaits,3.213,0.645,0.803,0.049
1024,avgNumNodes,0.579,0.034,0.185,0.011
1024,avgDelays,0.191,0.090,0.301,0.018
1024,avgNumQueues,0.038,0.004,0.062,0.004
1024,utilization_server5,0.406,0.010,0.102,0.006
1024,service_server5,3.070,0.618,0.786,0.048
1024,share_server5,0.763,0.007,0.084,0.005
1024,utilization_server6,0.171,0.008,0.092,0.006
1024,service_server6,2.928,1.597,1.264,0.078
1024,share_server6,0.300,0.008,0.090,0.006
